instrument,price_usd,timestamp
Chroma 3 Case,0.28,1646258400
Chroma 3 Case,0.28,1646344800
Chroma 3 Case,0.28,1646431200
Chroma 3 Case,0.28,1646517600
Chroma 3 Case,0.28,1646604000
Chroma 3 Case,0.29,1646690400
Chroma 3 Case,0.29,1646776800
Chroma 3 Case,0.29,1646863200
Chroma 3 Case,0.3,1646949600
Chroma 3 Case,0.29,1647036000
Chroma 3 Case,0.31,1647122400
Chroma 3 Case,0.32,1647208800
Chroma 3 Case,0.31,1647295200
Chroma 3 Case,0.31,1647381600
Chroma 3 Case,0.32,1647468000
Chroma 3 Case,0.32,1647554400
Chroma 3 Case,0.33,1647640800
Chroma 3 Case,0.33,1647727200
Chroma 3 Case,0.34,1647813600
Chroma 3 Case,0.34,1647900000
Chroma 3 Case,0.36,1647986400
Chroma 3 Case,0.36,1648072800
Chroma 3 Case,0.36,1648159200
Chroma 3 Case,0.37,1648245600
Chroma 3 Case,0.37,1648332000
Chroma 3 Case,0.37,1648418400
Chroma 3 Case,0.37,1648504800
Chroma 3 Case,0.4,1648591200
Chroma 3 Case,0.42,1648677600
Chroma 3 Case,0.43,1648764000
Chroma 3 Case,0.47,1648850400
Chroma 3 Case,0.5,1648936800
Chroma 3 Case,0.55,1649023200
Chroma 3 Case,0.57,1649109600
Chroma 3 Case,0.57,1649196000
Chroma 3 Case,0.58,1649282400
Chroma 3 Case,0.58,1649368800
Chroma 3 Case,0.58,1649455200
Chroma 3 Case,0.56,1649541600
Chroma 3 Case,0.5,1649628000
Chroma 3 Case,0.47,1649714400
Chroma 3 Case,0.49,1649800800
Chroma 3 Case,0.49,1649887200
Chroma 3 Case,0.51,1649973600
Chroma 3 Case,0.52,1650060000
Chroma 3 Case,0.52,1650146400
Chroma 3 Case,0.52,1650232800
Chroma 3 Case,0.51,1650319200
Chroma 3 Case,0.5,1650405600
Chroma 3 Case,0.5,1650492000
Chroma 3 Case,0.52,1650578400
Chroma 3 Case,0.52,1650664800
Chroma 3 Case,0.51,1650751200
Chroma 3 Case,0.51,1650837600
Chroma 3 Case,0.52,1650924000
Chroma 3 Case,0.52,1651010400
Chroma 3 Case,0.52,1651096800
Chroma 3 Case,0.53,1651183200
Chroma 3 Case,0.54,1651269600
Chroma 3 Case,0.54,1651356000
Chroma 3 Case,0.54,1651442400
Chroma 3 Case,0.53,1651528800
Chroma 3 Case,0.51,1651615200
Chroma 3 Case,0.5,1651701600
Chroma 3 Case,0.52,1651788000
Chroma 3 Case,0.53,1651874400
Chroma 3 Case,0.53,1651960800
Chroma 3 Case,0.53,1652047200
Chroma 3 Case,0.53,1652133600
Chroma 3 Case,0.54,1652220000
Chroma 3 Case,0.53,1652306400
Chroma 3 Case,0.54,1652392800
Chroma 3 Case,0.56,1652479200
Chroma 3 Case,0.57,1652565600
Chroma 3 Case,0.6,1652652000
Chroma 3 Case,0.61,1652738400
Chroma 3 Case,0.62,1652824800
Chroma 3 Case,0.62,1652911200
Chroma 3 Case,0.63,1652997600
Chroma 3 Case,0.65,1653084000
Chroma 3 Case,0.67,1653170400
Chroma 3 Case,0.67,1653256800
Chroma 3 Case,0.68,1653343200
Chroma 3 Case,0.69,1653429600
Chroma 3 Case,0.68,1653516000
Chroma 3 Case,0.69,1653602400
Chroma 3 Case,0.7,1653688800
Chroma 3 Case,0.7,1653775200
Chroma 3 Case,0.68,1653861600
Chroma 3 Case,0.7,1653948000
Chroma 3 Case,0.69,1654034400
Chroma 3 Case,0.69,1654120800
Chroma 3 Case,0.67,1654207200
Chroma 3 Case,0.66,1654293600
Chroma 3 Case,0.65,1654380000
Chroma 3 Case,0.65,1654466400
Chroma 3 Case,0.67,1654552800
Chroma 3 Case,0.65,1654639200
Chroma 3 Case,0.62,1654725600
Chroma 3 Case,0.66,1654812000
Chroma 3 Case,0.65,1654898400
Chroma 3 Case,0.64,1654984800
Chroma 3 Case,0.63,1655071200
Chroma 3 Case,0.61,1655157600
Chroma 3 Case,0.61,1655244000
Chroma 3 Case,0.58,1655330400
Chroma 3 Case,0.55,1655416800
Chroma 3 Case,0.54,1655503200
Chroma 3 Case,0.56,1655589600
Chroma 3 Case,0.59,1655676000
Chroma 3 Case,0.58,1655762400
Chroma 3 Case,0.55,1655848800
Chroma 3 Case,0.55,1655935200
Chroma 3 Case,0.54,1656021600
Chroma 3 Case,0.55,1656108000
Chroma 3 Case,0.54,1656194400
Chroma 3 Case,0.55,1656280800
Chroma 3 Case,0.56,1656367200
Chroma 3 Case,0.56,1656453600
Chroma 3 Case,0.59,1656540000
Chroma 3 Case,0.61,1656626400
Chroma 3 Case,0.62,1656712800
Chroma 3 Case,0.62,1656799200
Chroma 3 Case,0.63,1656885600
Chroma 3 Case,0.63,1656972000
Chroma 3 Case,0.61,1657058400
Chroma 3 Case,0.63,1657144800
Chroma 3 Case,0.65,1657231200
Chroma 3 Case,0.68,1657317600
Chroma 3 Case,0.69,1657404000
Chroma 3 Case,0.69,1657490400
Chroma 3 Case,0.69,1657576800
Chroma 3 Case,0.71,1657663200
Chroma 3 Case,0.7,1657749600
Chroma 3 Case,0.71,1657836000
Chroma 3 Case,0.73,1657922400
